Latitude,Longitude,Population
31.498673,74.243724,14863
31.497702,74.233447,3232
31.506501,74.247921,10743
31.50553,74.237642,5958
31.479073,74.272236,11567
31.487867,74.286711,8719
31.486899,74.276435,9404
31.473185,74.288585,20741
31.472217,74.278312,21454
31.481009,74.292786,16120
31.480042,74.282511,14406
31.469309,74.247492,13120
31.478104,74.261962,11218
31.477134,74.251688,11979
31.463424,74.263842,9571
31.462454,74.25357,17873
31.471248,74.268038,23958
31.470279,74.257765,18951
31.501583,74.274557,21454
31.510378,74.289037,14781
31.50941,74.278758,22975
31.495692,74.290912,2272
31.494725,74.280635,5555
31.503518,74.295114,3273
31.502551,74.284835,11747
31.491817,74.249805,16163
31.500614,74.264279,22848
31.499644,74.254002,17430
31.48593,74.266159,19046
31.48496,74.255884,16352
31.493756,74.270358,22405
31.492787,74.260081,24751
31.543619,74.326423,14728
31.552411,74.340919,8963
31.551447,74.330632,5349
31.53772,74.342783,8671
31.536756,74.332499,11650
31.545547,74.346993,5887
31.544583,74.336708,4445
31.575896,74.353556,11895
31.584687,74.368061,20687
31.583725,74.35777,17073
31.569991,74.36992,12065
31.56903,74.359631,9257
31.577819,74.374136,18758
31.576858,74.363846,14069
31.56614,74.328765,12896
31.574933,74.343266,10966
31.573969,74.332976,13361
31.560239,74.34513,12676
31.559275,74.334843,11919
31.568067,74.349342,9086
31.567104,74.339054,12212
31.540606,74.373635,15290
31.549392,74.388136,14557
31.548432,74.37785,15973
31.534701,74.389989,7987
31.533741,74.379705,13165
31.542526,74.394205,5373
31.541566,74.38392,12383
31.530856,74.348856,7230
31.539644,74.363351,10356
31.538682,74.353067,6350
31.524955,74.36521,14899
31.523993,74.354928,14411
31.53278,74.369422,11479
31.531819,74.359139,9306
31.563125,74.375993,12871
31.571912,74.390499,16927
31.570952,74.380209,17097
31.557218,74.392352,11650
31.556258,74.382065,12652
31.565044,74.39657,13629
31.564085,74.386282,14923
31.553374,74.351205,9355
31.562163,74.365705,10063
31.561202,74.355418,7937
31.547471,74.367564,11749
31.546509,74.357279,12774
31.555297,74.371778,9794
31.554336,74.361491,7229
31.536847,74.254434,15655
31.545646,74.268919,23198
31.544677,74.258635,16447
31.530957,74.2708,22722
31.529987,74.260517,18666
31.538786,74.275001,23356
31.537817,74.264718,16986
31.569138,74.28153,21961
31.577937,74.296026,25923
31.576969,74.285736,22437
31.563243,74.297901,21869
31.562275,74.287613,24528
31.571073,74.302108,20441
31.570106,74.291819,23926
31.559368,74.256751,539
31.568169,74.271242,8429
31.5672,74.260953,1
31.553477,74.273122,21391
31.552507,74.262836,19331
31.561307,74.277326,24402
31.560338,74.267038,9317
31.53386,74.301648,16950
31.542654,74.316139,14460
31.541688,74.305854,16572
31.527964,74.318008,15485
31.526999,74.307726,19198
31.535791,74.322215,12139
31.534826,74.311932,16389
31.524097,74.27688,21519
31.532893,74.291365,21220
31.531925,74.281082,24592
31.518205,74.29324,15656
31.517237,74.282959,19186
31.526032,74.297444,19441
31.525065,74.287162,18309
31.55638,74.303981,12194
31.565175,74.318477,15265
31.564209,74.308189,15199
31.550482,74.320346,15998
31.549517,74.310061,8280
31.558311,74.324555,12334
31.557346,74.314268,14582
31.546615,74.279204,24686
31.555413,74.293695,21360
31.554445,74.283408,21930
31.540721,74.29557,24102
31.539754,74.285285,25415
31.54855,74.299775,17104
31.547583,74.28949,23736
31.440831,74.339476,12017
31.449614,74.35395,11699
31.448651,74.34368,14019
31.434936,74.355808,16756
31.433974,74.34554,15045
31.442755,74.360013,10991
31.441793,74.349744,13751
31.473076,74.366571,14362
31.481858,74.381056,14410
31.480898,74.370781,9525
31.467176,74.382909,15095
31.466216,74.372636,15729
31.474997,74.38712,14655
31.474037,74.376846,16755
31.46333,74.341818,13824
31.472115,74.356298,10869
31.471152,74.346024,11773
31.457434,74.358156,11381
31.456472,74.347885,13141
31.465255,74.362363,14239
31.464293,74.352091,12896
31.437818,74.386613,6326
31.446595,74.401092,14459
31.445636,74.390822,13678
31.431918,74.402939,269
31.430959,74.392672,73
31.439735,74.40715,11406
31.438777,74.396881,10405
31.428079,74.36187,16047
31.436858,74.376344,8719
31.435898,74.366076,17342
31.422182,74.378197,5544
31.421222,74.367931,12774
31.43,74.382404,1856
31.42904,74.372137,13654
31.460316,74.388971,13848
31.469094,74.403456,16218
31.468135,74.393182,14068
